# file...... outputFiles/transformer:power_in_C.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=transformer
# property.. power_in_C
# limit..... 0
# interval.. 60
# timestamp,transformer_0,transformer_1,transformer_2,transformer_3,transformer_4,transformer_5,transformer_6,transformer_8,transformer_10,transformer_11,transformer_12,transformer_13,transformer_14,transformer_15,transformer_16,transformer_18,transformer_20
2013-07-01 17:53:00 UTC,+113770+98971.1j,+0+0j,+13181.6+3923.42j,+0+0j,+0+0j,+13463.8+4047.75j,+0+0j,+0+0j,+0+0j,+0+0j,+16779.4+6261.38j,+0+0j,+0+0j,+18075.2+5458.46j,+0+0j,+13181.6+3923.42j,+18046.9+5445.24j
2013-07-01 17:54:00 UTC,+113768+98968.6j,+0+0j,+13184.4+3924.68j,+0+0j,+0+0j,+13465.7+4048.6j,+0+0j,+0+0j,+0+0j,+0+0j,+16778.8+6260.11j,+0+0j,+0+0j,+18078.9+5460.2j,+0+0j,+13184.4+3924.68j,+15595.2+4675.43j
2013-07-01 17:55:00 UTC,+113769+98970.2j,+0+0j,+13182.7+3923.89j,+0+0j,+0+0j,+13464.5+4048.08j,+0+0j,+0+0j,+0+0j,+0+0j,+16779.2+6260.94j,+0+0j,+0+0j,+18076.6+5459.11j,+0+0j,+15645.3+4698.25j,+15593.2+4674.5j
2013-07-01 17:56:00 UTC,+113768+98967.9j,+0+0j,+13184.3+3924.62j,+0+0j,+0+0j,+10961.4+3251.74j,+0+0j,+0+0j,+0+0j,+0+0j,+16778.6+6259.75j,+0+0j,+0+0j,+18078.7+5460.11j,+0+0j,+15647.2+4699.11j,+15595.1+4675.36j
2013-07-01 17:57:00 UTC,+113730+98947.3j,+0+0j,+13161.9+3918.94j,+0+0j,+0+0j,+10944.3+3247.41j,+0+0j,+0+0j,+0+0j,+0+0j,+16740.9+6240.77j,+0+0j,+0+0j,+18045.2+5451.59j,+0+0j,+15619.2+4692j,+15567.1+4668.27j
2013-07-01 17:58:00 UTC,+113731+98950.6j,+0+0j,+13158.3+3917.36j,+0+0j,+0+0j,+10942.2+3246.56j,+0+0j,+0+0j,+0+0j,+0+0j,+16741.7+6242.4j,+0+0j,+0+0j,+20493.3+6222.34j,+0+0j,+18071.8+5464.06j,+15563+4666.39j
2013-07-01 17:59:00 UTC,+113731+98950.8j,+0+0j,+13158+3917.24j,+0+0j,+0+0j,+10942.1+3246.5j,+0+0j,+0+0j,+0+0j,+0+0j,+16741.7+6242.53j,+0+0j,+0+0j,+20493+6222.19j,+0+0j,+18071.5+5463.89j,+15562.7+4666.24j
2013-07-01 18:00:00 UTC,+113732+98951.4j,+0+0j,+13157.4+3916.97j,+0+0j,+0+0j,+10941.9+3246.4j,+0+0j,+0+0j,+0+0j,+0+0j,+16741.9+6242.8j,+0+0j,+0+0j,+20492.1+6221.77j,+0+0j,+18070.7+5463.52j,+15562+4665.93j
2013-07-01 18:01:00 UTC,+113732+98951.4j,+0+0j,+13157.3+3916.92j,+0+0j,+0+0j,+10941.8+3246.36j,+0+0j,+0+0j,+0+0j,+0+0j,+16741.9+6242.8j,+0+0j,+0+0j,+20492+6221.69j,+0+0j,+18070.5+5463.45j,+15561.8+4665.87j
2013-07-01 18:02:00 UTC,+113693+98932.1j,+0+0j,+13133.7+3910.77j,+0+0j,+0+0j,+13416.5+4035.47j,+0+0j,+0+0j,+0+0j,+0+0j,+16704.2+6224.4j,+0+0j,+0+0j,+20451+6210.95j,+0+0j,+18035.3+5454.24j,+15532.5+4658.2j
